name,subGroupName,mod,digital_assign.x,lv.mod,2016,2017,2018,2019,2020,count_2021,2022,2023,growth,cagr,score,digital_assign.y
Direct motion computer numerically controlled CNC software,Computer aided manufacturing CAM software,Trades,1,Industrial modelling & geospatial software skills,184,290,305,280,187,302,474,169,0.07857142857142857,0.038542935352905205,181.6703197436304,1
Drafting software,Map creation software,General office,1,Industrial modelling & geospatial software skills,40,131,332,308,171,292,388,144,-0.05194805194805195,-0.02632040791030854,92.98229812048857,1
Drawing software,Graphics or photo imaging software,General office,1,Industrial modelling & geospatial software skills,14,21,357,308,140,338,496,175,0.09740259740259741,0.04756985323299445,84.30170346781298,1
Drupal,Web platform development software,High-tech,1,Design & marketing skills,431,1013,2038,1901,957,1119,1384,507,-0.41136244082062073,-0.23277281123556415,80.34964656399144,1
ERP software,Enterprise resource planning ERP software,Business and management,1,Workforce digital skills,488,1033,2217,2277,1553,2812,4621,1768,0.2349582784365393,0.11128676696725748,129.1370267814803,1
ESRI ArcGIS,Map creation software,High-tech,1,Industrial modelling & geospatial software skills,54,206,411,422,234,445,537,262,0.054502369668246446,0.02688965798095677,50.97351447156564,1
ETAP,Analytical or scientific software,General office,1,Industrial modelling & geospatial software skills,19,158,393,431,158,283,204,103,-0.3433874709976798,-0.18968368583477224,21.902386112186772,1
ETL,Data base reporting software,High-tech,1,Software/product dev & data skills,1032,2528,4371,3797,1791,2899,3492,1263,-0.2365025019752436,-0.12621656114071578,13.413484780638536,1
Editing software,Word processing software,High-tech,1,Design & marketing skills,640,1027,1646,1898,1587,2282,2567,1128,0.20231822971549,0.09650272672505933,66.19685635660296,1
Educational software,Computer based training software,High-tech,1,Cybersecurity & system infrastructure skills,19,38,101,52,84,246,265,103,3.730769230769231,1.1750331562459526,138.21171856533286,1
Eiffel,Object or component oriented development software,Communication and interaction,1,Workforce digital skills,NA,67,95,111,124,161,121,44,0.45045045045045046,0.20434648272432399,295.4164189235852,1
Electronic Data Interchange EDI systems,Enterprise application integration software,Business and management,1,Workforce digital skills,593,1403,2999,2600,1947,3743,7968,4493,0.43961538461538463,0.19983973288743218,129.09137580887253,1
Electronic medical record EMR software,Medical software,General office,1,Industrial modelling & geospatial software skills,38,162,626,572,572,747,995,417,0.30594405594405594,0.14277909323895832,160.64476974322486,1
Electronic medical record EMR systems,Medical software,High-tech,1,Industrial modelling & geospatial software skills,239,882,2025,2194,2174,2765,3901,1951,0.26025524156791247,0.12261090390567309,149.21408059320848,1
Email software,Electronic mail software,Business and management,1,Workforce digital skills,37,217,431,433,405,430,530,227,-0.006928406466512702,-0.0034702244621652723,169.11123803660047,1
Enterprise application integration EAI software,Enterprise application integration software,High-tech,1,Design & marketing skills,147,165,228,258,228,248,283,128,-0.03875968992248062,-0.019571364107759504,15.948036946546285,1
Enterprise content management,Web page creation and editing software,High-tech,1,Software/product dev & data skills,428,873,602,589,248,416,426,112,-0.2937181663837012,-0.15959424465541716,75.38899130893135,1
